                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.61384,                 1.0785,                0.81088,                0.93118,                  0.472,                0.45044,                0.41522,                0.34002,                0.47222,                0.44868,                0.41174,                0.31979,                 0.7269,                 1.4824,                 1.2115,                  1.032,              0.0071785,              0.0071785,              0.0071785
                     59,                0.61308,                  1.074,                  0.806,                0.93032,                0.47944,                0.44693,                0.41181,                0.33848,                0.47999,                0.44433,                0.40865,                0.31813,                0.72776,                 1.4794,                 1.2197,                 1.0325,               0.007129,               0.007129,               0.007129
                     60,                0.61568,                 1.0745,                0.80399,                0.92999,                0.49086,                0.45994,                0.42478,                0.35066,                0.49004,                0.45653,                0.42091,                   0.33,                0.71587,                 1.4451,                 1.2109,                  1.023,              0.0070795,              0.0070795,              0.0070795
                     61,                0.60934,                 1.0669,                0.79612,                0.92817,                0.53983,                0.42343,                0.41996,                0.34475,                0.53865,                 0.4225,                0.41678,                0.32358,                0.71516,                 1.4548,                 1.2262,                 1.0229,                0.00703,                0.00703,                0.00703
                     62,                0.60719,                 1.0659,                0.78929,                0.92802,                0.54537,                0.42853,                0.41785,                0.34305,                0.54066,                0.42771,                  0.414,                0.32353,                0.71217,                  1.468,                  1.237,                 1.0237,              0.0069805,              0.0069805,              0.0069805
                     63,                0.60728,                 1.0614,                0.79104,                0.92716,                0.49327,                0.44452,                0.41192,                0.33906,                0.49165,                0.44335,                0.40916,                0.31783,                0.71697,                 1.4738,                 1.2275,                 1.0278,               0.006931,               0.006931,               0.006931
                     64,                0.60157,                 1.0555,                 0.7758,                0.92489,                0.48577,                0.45388,                0.41559,                0.34043,                0.49414,                0.44561,                0.41322,                0.32068,                0.71789,                 1.4714,                 1.2412,                 1.0273,              0.0068815,              0.0068815,              0.0068815
                     65,                0.60128,                 1.0508,                0.76411,                0.92483,                0.48677,                0.45004,                0.41894,                0.34562,                 0.4903,                0.44894,                0.41804,                0.32467,                0.71271,                 1.4653,                  1.237,                 1.0257,               0.006832,               0.006832,               0.006832
                     66,                0.60008,                 1.0477,                0.76105,                0.91996,                 0.4829,                0.46338,                0.42003,                0.34428,                0.48282,                0.46178,                0.41599,                0.32231,                0.71919,                 1.4774,                 1.2363,                 1.0305,              0.0067825,              0.0067825,              0.0067825
                     67,                0.59414,                 1.0367,                 0.7456,                0.91973,                0.48484,                0.45497,                0.41488,                0.33985,                 0.4839,                0.45247,                0.41152,                0.32002,                0.71909,                  1.498,                 1.2448,                 1.0302,               0.006733,               0.006733,               0.006733
                     68,                0.59189,                 1.0349,                0.73909,                0.91845,                0.49404,                0.44423,                0.41201,                0.33881,                0.49361,                0.44232,                0.40817,                0.31751,                0.71839,                 1.4851,                 1.2501,                 1.0275,              0.0066835,              0.0066835,              0.0066835
                     69,                0.58881,                 1.0314,                0.73952,                0.91586,                0.53059,                0.43961,                0.42352,                0.34948,                0.53086,                0.43813,                0.41925,                0.32735,                0.71396,                 1.4781,                  1.239,                 1.0247,               0.006634,               0.006634,               0.006634
                     70,                0.58829,                 1.0209,                0.72863,                0.91629,                0.46393,                0.46728,                0.41711,                0.34441,                  0.467,                0.45493,                0.41199,                0.32338,                0.71142,                 1.4932,                 1.2387,                 1.0285,              0.0065845,              0.0065845,              0.0065845
                     71,                 0.5867,                 1.0208,                0.72701,                0.91573,                0.50513,                0.44894,                 0.4196,                0.34255,                0.50351,                0.44693,                0.41556,                0.32435,                0.71566,                 1.4988,                 1.2548,                 1.0302,               0.006535,               0.006535,               0.006535
                     72,                0.58495,                  1.015,                0.72099,                  0.915,                0.46474,                0.46652,                0.41298,                0.33934,                0.46328,                0.46375,                 0.4091,                0.31899,                0.71378,                 1.4982,                 1.2658,                 1.0275,              0.0064855,              0.0064855,              0.0064855
                     73,                0.58401,                 1.0157,                0.71428,                0.91289,                0.51999,                0.43382,                0.41478,                 0.3396,                0.51825,                0.43232,                0.41115,                0.32175,                0.71739,                 1.4942,                 1.2548,                 1.0295,               0.006436,               0.006436,               0.006436
                     74,                0.58004,                 1.0191,                0.70985,                0.91325,                0.49649,                0.45567,                0.42012,                 0.3465,                0.49845,                0.45401,                0.41572,                0.32667,                0.71275,                 1.4818,                 1.2595,                  1.022,              0.0063865,              0.0063865,              0.0063865
                     75,                0.57866,                 1.0071,                0.70132,                0.91165,                0.48078,                0.46129,                0.42021,                0.34545,                0.53994,                0.42061,                0.41525,                0.32646,                0.71173,                 1.4864,                 1.2546,                 1.0234,               0.006337,               0.006337,               0.006337
                     76,                0.57723,                 1.0043,                 0.7002,                0.91104,                0.50797,                 0.4416,                0.41594,                0.34427,                0.51045,                0.43869,                0.41152,                  0.323,                0.70935,                 1.4799,                 1.2578,                 1.0256,              0.0062875,              0.0062875,              0.0062875
                     77,                0.56998,                0.99588,                0.68699,                0.90688,                0.50568,                0.44077,                0.41674,                0.34351,                0.50433,                0.43892,                0.41364,                0.32282,                0.70355,                 1.4685,                 1.2524,                 1.0224,               0.006238,               0.006238,               0.006238
                     78,                0.57391,                0.99746,                0.68564,                0.90718,                0.52256,                0.42802,                0.41609,                0.34267,                0.52095,                0.42841,                 0.4136,                0.32083,                0.71099,                 1.4865,                 1.2602,                 1.0298,              0.0061885,              0.0061885,              0.0061885
                     79,                0.57273,                0.99637,                0.67563,                0.90699,                0.52713,                0.43362,                0.41572,                0.34305,                0.52646,                0.43302,                0.41326,                0.32181,                0.70745,                 1.4944,                 1.2643,                  1.024,               0.006139,               0.006139,               0.006139
                     80,                0.56633,                0.98917,                0.67643,                0.90467,                 0.4764,                0.46874,                0.41597,                0.34345,                  0.471,                 0.4672,                0.41218,                0.32135,                0.71483,                 1.5015,                 1.2712,                 1.0318,              0.0060895,              0.0060895,              0.0060895
                     81,                0.56818,                0.98127,                0.66949,                 0.9059,                0.48076,                0.46147,                0.41507,                 0.3431,                0.47987,                0.45819,                0.41288,                0.32168,                0.71301,                 1.5179,                 1.2628,                  1.032,                0.00604,                0.00604,                0.00604
                     82,                0.56377,                0.97763,                0.66068,                0.90554,                 0.4929,                0.45427,                0.41291,                0.34115,                0.49257,                0.45164,                0.40827,                0.31877,                0.71102,                 1.5129,                 1.2623,                 1.0342,              0.0059905,              0.0059905,              0.0059905
                     83,                0.56197,                0.97529,                0.65697,                0.90201,                0.52218,                  0.441,                0.42007,                0.34948,                0.52072,                0.43882,                0.41523,                0.32699,                0.70994,                 1.5149,                 1.2624,                 1.0347,               0.005941,               0.005941,               0.005941
                     84,                0.55927,                0.97786,                0.65668,                0.90207,                0.53509,                0.44147,                0.42045,                 0.3489,                0.53511,                0.43548,                  0.416,                0.32776,                0.71023,                 1.5106,                 1.2625,                 1.0326,              0.0058915,              0.0058915,              0.0058915
                     85,                0.55716,                 0.9733,                0.64876,                0.90053,                0.50266,                0.45958,                  0.421,                0.34997,                0.49905,                0.45732,                0.41584,                0.32778,                0.70805,                 1.4943,                 1.2668,                 1.0311,               0.005842,               0.005842,               0.005842
                     86,                 0.5557,                0.97032,                0.64422,                0.89871,                0.50489,                0.44831,                0.41867,                0.34846,                0.53538,                0.42755,                0.41359,                0.32583,                0.70879,                 1.4896,                 1.2719,                 1.0338,              0.0057925,              0.0057925,              0.0057925
                     87,                0.55333,                0.96529,                0.64349,                0.89732,                0.49468,                0.45518,                0.41998,                0.34922,                0.50739,                0.43965,                 0.4161,                0.32749,                0.70839,                 1.4922,                 1.2738,                 1.0323,               0.005743,               0.005743,               0.005743
                     88,                0.55096,                0.95913,                0.63624,                0.89668,                0.51383,                 0.4393,                0.41811,                0.34608,                 0.5698,                0.41179,                 0.4144,                0.32632,                0.70744,                  1.503,                 1.2727,                 1.0322,              0.0056935,              0.0056935,              0.0056935
                     89,                0.54882,                0.95311,                  0.626,                 0.8966,                0.54276,                0.42846,                0.41794,                0.34647,                0.53808,                0.42766,                0.41337,                0.32584,                0.70562,                 1.5181,                  1.277,                 1.0294,               0.005644,               0.005644,               0.005644
                     90,                0.55029,                0.94926,                0.62518,                 0.8962,                0.53308,                0.42237,                0.41706,                0.34707,                0.56271,                0.40773,                0.41384,                0.32569,                0.70472,                 1.5175,                 1.2893,                 1.0267,              0.0055945,              0.0055945,              0.0055945
                     91,                0.55258,                0.95538,                0.62901,                0.89729,                0.51466,                0.43778,                0.41814,                0.34757,                0.51232,                0.43601,                0.41489,                0.32667,                0.70257,                 1.5157,                   1.29,                 1.0245,               0.005545,               0.005545,               0.005545
                     92,                0.54657,                0.95427,                 0.6202,                0.89715,                0.50314,                0.45246,                0.41456,                0.34367,                0.49769,                0.44784,                0.41004,                0.32294,                0.70354,                 1.5198,                 1.2945,                 1.0251,              0.0054955,              0.0054955,              0.0054955
                     93,                 0.5453,                0.94596,                 0.6097,                0.89434,                0.53956,                 0.4283,                0.41206,                0.34147,                0.53668,                0.42527,                0.40777,                0.32077,                 0.7046,                 1.5229,                 1.3028,                 1.0262,               0.005446,               0.005446,               0.005446
                     94,                0.53843,                0.93825,                0.61152,                0.89228,                0.50464,                0.43283,                0.41173,                0.34097,                0.50613,                 0.4317,                 0.4085,                0.32077,                0.70387,                 1.5269,                 1.3024,                 1.0243,              0.0053965,              0.0053965,              0.0053965
                     95,                0.54122,                0.94109,                0.61432,                0.89413,                 0.5287,                0.42708,                0.41393,                0.34248,                0.53286,                0.42172,                0.40932,                0.32164,                0.70477,                 1.5319,                 1.3062,                 1.0271,               0.005347,               0.005347,               0.005347
                     96,                0.53931,                0.93283,                0.60097,                0.89127,                0.53098,                0.42421,                 0.4144,                0.34256,                0.50313,                0.43332,                0.40933,                0.32198,                0.70476,                 1.5424,                 1.3074,                 1.0278,              0.0052975,              0.0052975,              0.0052975
                     97,                0.53839,                 0.9297,                0.60197,                0.89348,                0.52408,                 0.4292,                 0.4143,                0.34293,                0.52758,                0.43133,                0.41095,                0.32415,                0.70369,                 1.5374,                 1.3077,                 1.0268,               0.005248,               0.005248,               0.005248
                     98,                0.51551,                0.89738,                0.55479,                0.88219,                0.51077,                0.43378,                0.41426,                0.34264,                0.51391,                0.43677,                0.41126,                0.32303,                 0.7048,                 1.5495,                 1.3183,                 1.0279,              0.0051985,              0.0051985,              0.0051985
                     99,                0.52986,                0.91881,                0.58466,                0.89085,                0.52792,                0.43367,                0.41428,                0.34287,                0.52841,                0.43726,                0.41215,                0.32423,                0.70128,                 1.5351,                 1.3166,                 1.0261,               0.005149,               0.005149,               0.005149
                    100,                0.52732,                 0.9209,                0.58517,                 0.8884,                0.51475,                0.43649,                0.41516,                0.34438,                0.51377,                0.43524,                0.41208,                0.32484,                0.70261,                 1.5387,                 1.3194,                  1.026,              0.0050995,              0.0050995,              0.0050995
                    101,                0.52199,                 0.9104,                0.58114,                0.88684,                0.48385,                0.45898,                0.41734,                0.34736,                0.48326,                0.45856,                0.41468,                0.32733,                0.70024,                 1.5272,                  1.316,                 1.0236,                0.00505,                0.00505,                0.00505
                    102,                0.52348,                0.91251,                0.56991,                0.88616,                0.50372,                0.44658,                0.41615,                0.34618,                0.50047,                0.44533,                 0.4134,                0.32686,                0.69939,                 1.5314,                 1.3246,                 1.0225,              0.0050005,              0.0050005,              0.0050005
